Jeu,Description
Dans le royaume enchanté de Luminara,"Le héros traverse 5 niveaux de forêts magiques, collectant des cristaux, résolvant des énigmes, affrontant des pièges, vainquant un boss gobelin et naviguant dans un labyrinthe."
"L'explorateur galactique, Stella, sur la planète Xylon","Stella complète 7 niveaux de puzzles gravitationnels, reconfigurant des panneaux de contrôle, utilisant des plateformes, traversant des champs gravitationnels, déjouant des gardes robotisés, alignant des miroirs, activant des relais et naviguant dans un tunnel de gravité zéro."
Le ninja mystique dans la forteresse d'ombre,"Le ninja parcourt 3 niveaux de la forteresse, éliminant des samouraïs fantômes, traversant des couloirs piégés et vainquant le maître des ombres."
Dans la cité submergée d'Atlantis,"Le plongeur surmonte 4 niveaux sous-marins, naviguant entre des ruines, évitant des courants, déjouant des créatures marines et résolvant des énigmes architecturales."
Le chevalier de l'aube dans la tour maléfique,"Le chevalier franchit 6 niveaux, désactivant des pièges de flèches, résolvant des puzzles de leviers, vainquant des gardiens de pierre, traversant des fosses de lave, combattant des sorciers et résolvant un puzzle de lumière."
Dans les cavernes de cristal,"Le mineur explore 5 niveaux souterrains, évitant des éboulements, trouvant des cristaux, combattant des créatures, désactivant des pièges et naviguant dans un labyrinthe."
La sorcière de la forêt dans la forêt hantée,"La sorcière purifie 8 niveaux, concoctant une potion, chassant des esprits, neutralisant des plantes carnivores, réparant des totems, brisant des malédictions, collectant des ingrédients, exorcisant une zone et vainquant un esprit ancien."
Le pilote interstellaire dans les champs d'astéroïdes,"Le pilote navigue à travers 4 niveaux, évitant des astéroïdes, collectant des balises, détruisant des drones, traversant une ceinture d'astéroïdes et protégeant un convoi."
Dans le désert de sable éternel,"L'aventurier traverse 6 niveaux, trouvant des sources d'eau, naviguant dans des tempêtes de sable, combattant des bandits, déterrant des artefacts, résolvant des puzzles de pierre et domptant un animal du désert."
Le cyborg dans la mégapole en ruine,"Le cyborg restaure l'ordre en franchissant 7 niveaux urbains, piratant des systèmes de sécurité, désactivant des drones, traversant des bâtiments effondrés, déjouant des robots, reprogrammant des systèmes de défense, sauvant des civils et combattant un boss cyborg."
