Nom,Description,Categories,Genres,Mots-cles
Défaillance du signal,"Signal Decay est un voyou unique avec jusqu'à 3 joueurs en ligne ou une coopérative locale. Sur une future Terre alternative, vous êtes un assassin tranquille appelé par un mystérieux signal à prendre les armes pour attaquer les bases ennemies et devenir le dernier espoir pour sauver l'humanité de la manipulation mentale par les radiodiffuseurs. Caractéristiques Une aventure intensément voyoue avec une mission générée par la procédure et la mort permanente. Écraser, assassiner, attirer et mettre des pièges dans ce système très tactique. Travail d'équipe en ligne ou local pour jusqu'à 3 joueurs. Un mode solo avec une puissante capacité spéciale. Faites en sorte que chaque action compte. Amis à la Rescue: Une seconde chance de poursuivre une mission ratée en invitant des amis à rejoindre votre jeu. Armes Améliorations : Grande cache de fusils, tasers, mines, et diverses capacités spéciales. Global Strategy System: Piloter un centre de commandement secret dans le ciel pour courir à travers le monde, mener des recherches technologiques, atteindre la prochaine mission dans le temps. Défi quotidien & Global Leaderboard: Mettez votre point fort contre ceux de tous les autres assassins. Gameplay Cooperative Stealth Cacher votre présence et regarder les dos les uns des autres sous des niveaux d'alerte toujours croissants. Explorez les bases, collectez des ressources et recherchez le Broadcaster pour les détruire. Unique Combat Restez bas, exécutez les ennemis de derrière, et cachez les corps. Chaque ennemi est alerte et réactif, alors soyez vif. Prenez une position tactique, utilisez la bonne arme ou la bonne capacité pour faire face à diverses menaces, et couvrez-vous les uns les autres. Stratégie mondiale Pilotez un vaisseau aérien invisible à travers un monde en temps réel et partez à votre prochaine mission sous une prise de conscience ennemie toujours croissante. Choisissez stratégiquement vos missions pour détruire toutes les machines disséminées dans le monde avant que toutes les forces ennemies ne soient sur vous. Armes & ampère; Gadgets Combat tactique et très situationnel. Des fusils pour faire exploser des ennemis sans boucliers dans des quartiers proches, des tasers pour astucer les humains et seulement les humains. Chaque arme et gadget a son rôle unique. Choisissez vos armes et vos capacités de façon stratégique pour vous assurer que votre prochaine mission ne se termine pas par la mort ou la capture. Gestion des ressources Collecte de minerais pendant les missions de déverrouillage et d'amélioration de l'équipement. Effectuez des missions bonus, et vous acquerrez des ressources supplémentaires et un boost technologique.","Single-player,Multi-player,PvP,PvP en ligne,Écran partagé/split PvP,Co-op,Co-op en ligne,Écran partagé/split Co-op, Prise en charge complète des contrôleurs,Steam Cloud,Remote Play Together","Action, Aventure, Indie,Stratégie, Accès rapide","Indie,Strategy,Action,Adventure,Co-op,Stealth,Action Roguelike,Rogue-lite,Early Access,Cyberpunk,Tactique,Difficile,Local Co-Op,Nonlinéaire,Sci-fi,Multijoueur,Pixel Graphics,Top-Down,Rogue-like"
0RBITALIS,"0RBITALIS est un simulateur de lancement satellite avec un style rétro-puzzle. Lancez votre satellite en orbite et allez en tête avec la force dominante qui a formé l'univers entier : Gravité. Ces lancements n'ont pas été une promenade dans le parc, il ya toutes sortes d'étoiles, planètes, comètes, pulsars et plus à naviguer. Sans parler des sondes rivales qui vont rivaliser contre vous et même chasser les vôtres. Oh, et avons-nous mentionné ces sondes antigravité ? Caractéristiques Découvrez une simulation de gravité précise avec une esthétique minimaliste unique. Explorez 100 niveaux dans douze secteurs, chacun avec sa mécanique de gameplay unique. Expérimentez avec les téléportations et le temps des balles pour plier le tissu même de l'espace pour ce lancement parfait. Découvrez et débloquez 39 réalisations stimulantes. Utilisez l'éditeur intuitif pour concevoir vos propres niveaux et partager avec le monde via Steam Workshop. Supernova Edition comprend: 12 piste 0RBITALIS Bande sonore de Doseone. L'art de 0RBITALIS - Livre d'art numérique. 40+ Images de fond à utiliser comme vous le souhaitez. Pour afficher ces extras, faites un clic droit sur 0RBITALIS dans votre liste de jeux, allez dans 'propriétés', allez dans l'onglet 'fichiers locaux' et cliquez sur 'Parcourir des fichiers locaux'. Ces extras seront dans le dossier 'Extra content'.","Single-player,Steam Achievements,Steam Trading Cards,Steam Workshop,Steam Cloud,Steam Leaderboards,Comprend l'éditeur de niveau","Indie, Simulation","Simulation, Indie,Puzzle,Espace,Physique"
Je marche parmi les zombies Vol. 3,"Nous vous recommandons de jouer I Walk Among Zombies Vol. 1 et Vol. 2 avant de commencer Vol. 3. C'est le dernier jeu de la série. La Terre descend dans le chaos, la victime compte monter à un rythme astronomique. Ceux qui n'ont pas la chance de survivre passent leurs jours dans le désespoir. Mais parmi eux est notre protagoniste. Sera-t-il capable de devenir un héros ? L'histoire Gunfile sonne, détruisant le refuge de la mairie. Une mort violente. Des gens conduits au suicide. Un groupe mystérieux dans les coulisses. Une horde imminente de zombies. Et les zombies intelligents sont enfin en mouvement. La mairie devient un champ de bataille sanglant. Mais que deviendra Makiura? De Yuusuke ? Les sentiments de Mitsuki sont-ils voués à rester sans réponse ? D'après le roman du site Nocturne Romans! Caractéristiques Avec une œuvre à couper le souffle de Saburo Pleine voix japonaise (sauf pour le protagoniste) Galerie et mode de musique Deux fins différentes pour débloquer Suite de la série I Walk Among Zombies Texte anglais",Joueur unique,Aventure,"Aventure, Roman visuel,Zombies,Animal,Sexual Content,Horror,Post-apocalyptique,Singleplayer,Violent,Multiple Endings,Gore"
Elisa: Séduire l'Auberge,"Même si ces filles sont scandaleusement magnifiques, elles sont si bien connues pour la raison même que personne ne pourrait jamais réussir à les conquérir. Ce sera donc un défi difficile, rien - et personne - ne peut être considéré comme acquis. Le jeu fera face au joueur à certaines décisions, et en contrôlant directement ses dialogues de caractère, il débloquera des réactions spécifiques. Alors êtes-vous prêt à commencer cette aventure riche et intense où pour une fois vos choix comptent vraiment? Notre jeu offre plus de 40 choix primaires et secondaires. Ces choix auront une influence positive et négative sur le déroulement de l'histoire. • Prenez le contrôle de notre personnage principal; soyez celui qui décide de ses dialogues. Soyez bon ou mauvais, c'est à vous de le faire! • Nos filles réagiront différemment selon la situation! • Mais évidemment, il y en a beaucoup plus ! Autre que faire de bons et de mauvais choix, le joueur aura la chance de débloquer des traits de personnalité spécifiques, comme son comportement est façonné. Aussi: • Débloquer 15+ Emplacements et milieux réalisés par notre artiste Ria (gagnant du concours d'illustration de style anime 2015 à l'échelle nationale). • 30+ Oeuvres de notre artiste Bicio (gagnant du concours de manga latino-américaine 2015). • Trading cartes & Réalisations. • Débloquez et écoutez notre bande son quand vous voulez! • Recueillir des œuvres secrètes et des scènes de bonus dans notre galerie d'art. Chaque œuvre et arrière-plan de notre Roman visuel est disponible en résolution ULTRA HD 4k, qui offre des images plus claires et plus détaillées même aux résolutions inférieures.","Un seul joueur, Succès d'équipe, Cartes de trading Steam","Casual, Indie","Roman visuel,Datation Sim,Animal,Choix Matière,Fins Multiples,Romagne,Narration Dynamique,Female Protagoniste,Fiction Interactive,Fantasy,Story Rich,Cute,Nudité,Colorful,Sexual Content,Choose Your Own Adventure,Indie,Singleplayer,Emotional"
Qubes,"Introduction Qubes est un jeu en ligne 1v1 où la pensée rapide, la vitesse et la concentration sont au cœur de l'expérience de gameplay. Défier un ami ou un joueur aléatoire dans un match avec un ensemble de règles générées aléatoirement, et n'oubliez pas d'utiliser les powerups autour de la carte. Colorez la majorité de la carte pour gagner le round. Le premier joueur à 3 tours gagne le match ! Jeu Deux joueurs se font face dans une arène où ils contrôlent un cube, en le roulant autour ils peuvent colorer les tuiles de la carte avec leur couleur. Mais chaque quantité de rouleaux les deux cubes deviennent verts et coloreront les tuiles de carte de vert, pour ensuite revenir aux couleurs originales (voir ci-dessous une description de la fonction verte). À la fin d'un tour le joueur qui a coloré la majorité de la carte avec sa couleur gagne. Une ronde se termine lorsque le temps s'épuise ou que la carte entière a été colorée. Deux modes de jeu différents peuvent être joués, l'un standard avec un jeu de règles dynamique, ou l'autre personnalisé où les joueurs peuvent décider les règles et les maintenir pour l'ensemble du match; Actuellement, les règles dynamiques qui peuvent être rencontrées sont les suivantes: Type de carte: statique ou dynamique, cela définit si la carte après avoir été coloré peut être recoloré par l'autre joueur; Effet vert: cette règle définit si les carreaux de couleur verte seront détruits ou resteront après avoir été colorés; Longueur ronde: longueur du tour exprimée en secondes; Rouleaux normaux: nombre de rouleaux que chaque joueur a à voir avec leur couleur; Rouleaux verts: nombre de rouleaux que chaque joueur a à voir avec la couleur verte; Lors d'un match différents powerups peuvent naître autour, chacun comme un effet différent qui pourrait affecter vous ou le joueur ennemi, tels que: Couleurs de ligne ou de ligne: powerups qui peuvent colorer une ligne ou une colonne entière; Modificateurs de vitesse: powerups pour accélérer ou accélérer l'ennemi; Flocon de neige: powerup pour geler votre adversaire;","Multi-joueur,PvP,Online PvP","Casual, Accès rapide","Accès rapide, Casual"
Petite place Les choses,"Félicitations, gardien d'entrepôt ! Vous avez été promu ! Petite place Les choses sont un jeu de puzzle comme Sokoban. L'objectif est simple: Déplacez les boîtes pour couvrir certains panneaux. Mais ce n'est pas l'entrepôt de ton père. Dans Little Square Things, vous êtes les boîtes. Tous. Toutes les choses carrées répondent à chaque mouvement, et c'est donc à vous de les maintenir coordonnés, synchronisés et en ligne. Guidez-les dans une série d'environnements difficiles (et dangereux!) pour couvrir ces panneaux! Petite place Les choses sont aussi complètement libres. Tu veux des puzzles ? Vous avez des énigmes ! Pensez à votre chemin à travers 111 puzzles uniques ! De plus, vous pouvez tous les revisiter pour des défis complètement nouveaux dans chacun! Des murs à l'eau, des balles aux scies à éclats -- d'autres éléments se dressent sur votre chemin. Ça, ou ils t'aideront. Tu devras comprendre ça ! Naviguez sur la géométrie, avec des tableaux de jeu qui enveloppent et des espaces nuls qui n'existent littéralement pas ! Arrêtez de prendre vos mouvements tour par tour, ou augmentez la vitesse si vous êtes pressé! En tant que maître berger de moutons et de chats, vous êtes le phare de l'espérance des choses carrées en ces temps compliqués. Étiez-vous un enfant des années 90 ? Un autre genre de gamin ? Êtes-vous un enfant en ce moment ? Peu importe, parce que ce jeu est pour vous ! Voici ce que vous allez voir, entendre et ressentir: Nouveau ! Plus Adaptateur graphique amélioré (EGA) et support SoundBlaster! Gamepad.. faux soutien de joystick ! Des trucs modernes comme les réalisations et la synchronisation cloud ! Avec ses graphismes futuristes de 17 couleurs et son interface numérique (MIDI), Little Square Les choses vont t'exploser. Alors démarrez votre i386, bricolez avec votre CONFIG. SYS, et craquer vos doigts en préparation de cette prompte DOS, parce qu'il est temps de jouer à un jeu! Et c'est 1991 !","Un seul joueur, Succès d'équipe, Prise en charge complète du contrôleur,Steam Cloud","Indie, Stratégie","Accès précoce,Inde,Stratégie,Puzzle,Sokoban,Retro,Free to Play,Turn-Based,Famille Amiable"
Abysse de l'espace,"Space Abyss est un jeu abstrait dans lequel vous jouez en tant que gardien et explorez les systèmes planétaires Space Abyss, les libérant des usurpateurs. Détruire les débris spatiaux du système planétaire - vous obtenez divers matériaux qui vous aideront à détruire les usurpateurs plus efficacement. Les matériaux sont des armes plus pratiques pour le combat, des armes plus puissantes pour obtenir des matériaux, la santé du gardien, sa capacité à accélérer, et bien plus encore. Soyez sur vos gardes, les usurpateurs ont capturé ces endroits et de les rencontrer se transformeront inévitablement en bataille spatiale. Vous devez collecter suffisamment de matériaux et libérer le système planétaire des usurpateurs afin d'aller encore une fois à la libération des systèmes planétaires suivants - c'est le rôle de la garde.",Joueur unique,"Action, Casual, Indie, Simulation","Action,Simulation,Casual,Arcade,Space Sim,Open World,Rogue-like,Shooter,Spectaclefighter,Looter Shooter,Flight,FPS,Action Roguelike,3D,First-Person,Colorful, Atmospheric,Futuristic,War,Cyberpunk"
Puzzle Bots,"Il y a un grand secret au Dr Hugos Factory pour fabriquer des robots. Quand les inventeurs ne regardent pas, leurs petits robots vont dans de grandes aventures. Ils ne s'attendaient jamais à tomber sur un complot si diabolique qu'il menaçait leur existence même. Avec des lasers. Tout commence quand Zander - peut-être l'inventeur le plus absent - voyage sur une boîte en métal enterrée à l'extérieur de l'usine. Quand personne ne sait comment l'ouvrir, les robots se faufilent et l'essayent par eux-mêmes. Ce qu'ils découvrent est le premier pas vers une grande aventure, menant à un mystère aussi vieux que l'usine elle-même. Rejoignez les robots alors qu'ils surpassent les enfants malicieux, les animaux curieux et les inventeurs dysfonctionnels dans leur quête de la vérité. Les robots vont-ils résoudre le mystère avant qu'il ne soit trop tard ? Découvrez en visitant le Dr Hugos usine vous-même! Principales caractéristiques: Jouer comme 5 robots différents, chacun avec ses propres capacités et des personnalités bizarres Aider les robots à travailler ensemble en équipe pour résoudre les énigmes Bomb, brûler, pousser et nager votre chemin à travers 17 niveaux de conception complexe Explorez les secrets cachés d'une usine de robots fou Inconsciemment se mêler dans les vies humaines",Joueur unique,"Aventure, indie","Aventure,Inde,Puzzle,Point & Click,Singleplayer,Robots"
Insurgence : tempête de sable,"Insurgence: Sandstorm est un FPS tactique basé sur une équipe basée sur le combat létal et le gameplay multijoueur objectif. Sequel à l'Insurgency FPS indie breakout, Sandstorm renaît, s'améliore, s'étend et grand dans tous les sens. Expérimentez l'intensité du combat moderne où la compétence est récompensée, et le travail d'équipe gagne le combat. Préparez-vous à une représentation hardcore du combat avec des balistiques mortelles, des véhicules d'attaque légère, de l'artillerie destructrice et de l'audio HDR mettant la peur dans le genre. Une atmosphère intense mettant la terreur dans le combat moderne Déplacez-vous avec rapidité et prudence dans les environnements déchirés par la guerre d'un conflit contemporain fictif au Moyen-Orient. La mort arrive rapidement, les munitions doivent être gérées avec soin, et l'environnement doit être navigué tactiquement à chaque pas vers la victoire. Insurgence : raffinée et élargie Pour la première fois dans un jeu d'insurrection, personnalisez votre personnage pour montrer votre vétéran avec divers ensembles de vêtements, uniformes, accessoires et voix de caractère. Coordonner le soutien incendie avec votre équipe, engager les ennemis avec des mitrailleuses montées sur véhicule, et aller à la tête en petite échelle PvP à grande vitesse et des matchs coop. Wield de nouvelles armes et de nouvelles mises à niveau pour déjouer, déjouer et déjouer l'ennemi. La guerre à son plus réel insurrection continue , acclamé comme le tireur le plus atmosphérique , Sandstorm est construit sur Unreal 4 pour amener son combat gritty près-quarts dans une toute nouvelle ère de réalisme . La compétence est récompensée, et la survie est primordiale. Sentez chaque balle, et craignez chaque impact. Principales caractéristiques Sequel à la cassure indépendante FPS Insurgency, maintenant avec 5 millions d'unités vendues. Sandstorm est renaître, amélioré, élargi, et plus grand dans tous les sens. Personnage et personnalisation des armes pour montrer votre résistance au combat. Un design audio sans précédent avec une voix-chat positionnelle pour un travail d'équipe réaliste, et le cœur frapper audio ambiant pour vous amener dans le champ de bataille. Plongez autour des coins, franchissez les portes de façon tactique, utilisez la fumée pour couvrir l'avance de votre équipe, et appelez en appui aérien. Combattez sur des cartes étendues dans jusqu'à 14 modes de jeu de joueurs contre 14, ou 8 joueurs coopèrent contre l'IA, maintenant avec des véhicules drivables montés à la mitrailleuse.","Multijoueur,PvP,PvP en ligne,Co-op,Co-op en ligne,Steam Succès,Steam Trading Cards,Support du contrôleur partiel,Steam Cloud,Stats",Décision,"FPS,Realistic,Shooter,Militaire,Multijoueur,Tactique,Action,First-Person,Co-Op en ligne,War,Co-op,Violent,Gore, Atmosphérique,Difficile,Simulation,Open World,Massivement Multijoueur,Indie,Choices Matter"
Prisonnier,"Vous êtes prisonnier. Dans un endroit étrange avec beaucoup de chambres. Tu entends un bruit, comme si quelque chose bouge. Passer d'une pièce à l'autre, éviter les pièges mortels et essayer de s'échapper. Caractéristiques Une énorme quantité de niveaux. Toutes les pièces du complexe se déplacent, et on ne sait jamais ce qu'elles seront la prochaine fois. Des pièges mortels. Attention, il peut y avoir une variété de pièges à l'intérieur des salles: des lames d'acier aux lanceurs laser. Découvrez le Complexe étape par étape. Avant de commencer les essais les plus difficiles, découvrez les deux terminaisons qui vous donneront un accès aux nouveaux niveaux. Les procès. Après avoir terminé le jeu, vous aurez accès aux essais spéciaux, qui vous donneront l'occasion de gagner les récompenses et les réalisations supplémentaires. Des réalisations à la vapeur. Soutien du contrôleur.","Single-player,Steam Achievements, Contrôleur partiel Appui","Aventure, indie","Indie,Adventure,Platformer,Dark,2D, Atmosphérique, Perma Death,Difficile,Replay Value,Survival,Great Soundtrack,Pixel Graphics,Singleplayer,Rogue-like,Rogue-lite"
